#TAG,NAME IN REPO (or git url),OPTIONAL DEFAULT,PURPOSE (should be a verb phrase to sound right while installing),
,i3-gaps,,is the main graphical user interface and window manager.,
,xorg-server,,is the graphical server.,
,xorg-xwininfo,,allows querying information about windows.,
,xorg-xinit,,starts the graphical server.,
,man,,is the key to Linux for mankind.,
,sxhkd,,binds keys.,
,wmctrl,,allows control of a window manager via a CLI.,
,moreutils,,gives more goodies in the command line.,
A,i3-ws-nick-git,,makes multimonitor workspace switching easier in i3.,
,firefox,on,is the web browser of choice for NARB.,
,pulseaudio,on,is the audio server of NARB.,
,pulseaudio-alsa,on,supports PulseAudio.,
,pulsemixer,on,is a front-end for controlling PulseAudio.,
,pavucontrol,off,is a GUI front-end for configuring PulseAudio.,
,rxvt-unicode,,is the terminal emulator of NARB.,
A,urxvt-resize-font-git,on,allows the terminal font to be resized on-the-fly.,
,tlp,off,is an advanced power management tool.,
,powertop,off,allows viewing of battery consumption per program.,
,openssh,,allows SSH connections.,
,usbguard,off,allows easy whitelisting of USB devices.,
A,nerd-fonts-inconsolata,,is the monospace font of NARB.,
,ttf-linux-libertine,,provides the sans and serif fonts for NARB.,
,wqy-microhei,on,is the Chinese font of NARB.,
A,ttf-nanum,on,is the Korean font of NARB.,
A,ttf-nanumgothic_coding,on,is the Korean terminal font of NARB.,
,noto-fonts,on,is the sans serif font of NARB.,
,noto-fonts-cjk,on,is the CJK language pack to ensure all East Asian characters can be read.,
,noto-fonts-emoji,on,is the emoji font of NARB.,
A,ranger-git,off,is an extensive terminal file manager that everyone likes.,
A,lf,on,is the quick terminal file manager (what is ranger?).,
,trash-cli,on,allows easy management of trash.,
,nautilus,off,is a GUI file manager.,
,arc-gtk-theme,on,is the GTK theme of NARB.,
,arandr,on,is a UI for screen adjustment.,
,picom,,is the compositor which provides transparency and more,
,imagemagick,on,is a set of neat CLI image manipulation tools.,
,python-eyed3,on,is a tool to manage audio file tags.,
,bc,off,is a terminal-based calculator.,
,jq,,is a JSON parser for the terminal.,
,gnome-calculator,off,is a small GUI calculator.,
,octave,off,may be a helpful maths app (like MATLAB).,
,xorg-xprop,,is a tool for detecting window properties.,
,libnotify,,allows desktop notifications.,
,dunst,,is a suckless notification system.,
,dosfstools,on,allows your computer to access dos-like filesystems like FAT.,
,exfat-utils,off,allows management of exFAT drives.,
,sxiv,on,is a minimalist image viewer.,
A,imlib2-heic,on,allows the viewing of HEIC format images.,
,xwallpaper,,sets the wallpaper.,
,ffmpeg,on,can record and splice video and audio on the command line.,
,neovim,,a tidier vim with some useful features,
A,polybar,,is the status bar with all the bells and whistles.,
,mpd,on,is a lightweight music daemon.,
,mpc,on,is a terminal interface for mpd.,
,mpv,on,is the patrician's choice video player.,
,mpdscribble,on,scrobbles mpd plays to last.fm.,
,ncmpcpp,on,is a ncurses interface for music with multiple formats and a powerful tag editor.,
,ntfs-3g,,allows accessing NTFS partitions.,
,f2fs-tools,off,allows accessing F2FS partitions.,
A,xmouseless-git,on,is a tool to help moving mouse with keyboard.,
,keynav,off,is another tool to help jumping mouse.,
,firewalld,is a firewall.,
,libsigc++,,is a library that some applications need.,
A,sc-im,off,is an Excel-like terminal spreadsheet manager.,
,obs,off,is a livestreaming and recording application.,
,maim,on,can take quick screenshots at your request.,
,deepin-screen-recorder,off,is a simple screen recording application.,
,deepin-screenshot,off,is a more advanced GUI screenshot application with instant editing functionality.,
,transset-df,,can control window transparencies with the compositor.,
,tmux,,is a terminal multiplexer.,
,unclutter,on,hides an inactive mouse.,
,rar,on,makes rars.,
,unrar,on,extracts rars.,
,zip,on,makes zips.,
,unzip,on,unzips zips.,
,p7zip,on,deals with 7zip archives.,
,xclip,,allows for copying and pasting from the command line.,
,xdotool,,provides window action utilities on the command line.,
,xorg-xdpyinfo,,aids with resolution determination and more.,
,youtube-dl,on,can download any YouTube video (or playlist or channel) when given the link.,
,zathura,on,is a pdf viewer with vim-like bindings.,
,zathura-pdf-mupdf,on,allows mupdf pdf compatibility in zathura.,
,atool,on,manages and gives information about archives.,
,fzf,on,is a fuzzy finder tool.,
A,htop-vim-git,on,is a task manager.,
,bashtop,off,is a more modern style htop.,
,highlight,on,can highlight code output.,
,acpilight,off,enables changing screen brightness levels.,
,zsh,,is the zoomer shell.,
,zsh-syntax-highlighting,on,provides fish-like syntax highlighting in the shell.,
,zsh-autosuggestions,on,provides suggestions to commands in the shell.,
,zsh-history-substring-search,on,provides better history searching in the shell.,
A,dashbinsh,on,links sh to dash to speed up shell scripts.,
,ibus,off,allows for input of non-English languages.,
,ibus-hangul,off,allows ibus to input Korean.,
,ibus-libpinyin,off,allows ibus to input Chinese.,
,jre-openjdk,off,is a Java runtime environment.,
,keepassxc,on,is a password manager.,
,redshift,on,might help your eyes out at night.,
,xscreensaver,on,is the screensaver.,
,xss-lock,on,is the event watcher to activate the screensaver.,
,lightdm,off,is a display manager.,
,lightdm-gtk-greeter,off,is the theme for lightdm.,
,light-locker,off,allows the screen to be locked safely with lightdm.,
A,plymouth-git,off,is a fancy boot splash.,
,xss-lock,on,is a autolocker.,
A,caffeine-ng,on,keeps your computer up with a cup of coffee.,
A,nomachine,off,is a remote desktop server and client.,
,x11vnc,off,is a VNC server.,
,remmina,off,is a RDP and VNC client.,
,libvncserver,off,is needed for VNC in remmina.,
,nextcloud-client,on,is the client for NextCloud sync.,
,gnome-keyring,on,is a secret manager daemon.,
,seahorse,off,is a GUI for gnome-keyring.,
A,texlive-installer,on,is the LaTeX installer.,
,neofetch,off,displays computer information so you can flex your rice on them.,
,neomutt,off,is a terminal email client.,
A,mutt-wizard-git,off,is a setup wizard for neomutt by Luke.,
,thunderbird,off,is a GUI email client.,
,pass,on,is a GPG powered password store.,
,networkmanager-openconnect,off,allows connections to Cisco AnyConnect VPN servers.,
,network-manager-applet,on,is a GUI applet for NetworkManager.,
,numlockx,,allows numlock to be enabled by default on login.,
,cronie,on,is a cron implementation.,
,rofi,on,is an application selector.,
,dmenu,,is a neat selector.,
,rsync,,is a useful copy utility.,
,terminus-font,off,is a tty font that is useful on hidpi displays.,
,tree,on,is a command-line tool to view directory structures.,
,w3m,on,is a text-based browser but also used for image preview in the terminal too.,
A,dragon-drag-and-drop,on,is a nice utility for drag and dropping files in GUI apps.,
,cups,off,is used for printing.,
,cups-pdf,off,is for printing to PDF.,
,sane,off,is for scanning.,
,thefuck,off,is... damn it.,
A,fingerprint-gui,off,allows fingerprint usage.,
,picard,off,is an audio file tagging tool.,
,discord,off,is a communication program for GAMERS.,
,caprine,off,is a piece of Facebook spyware that should not be used.,
A,joplin,off,is a note taking application.,
,p3x-onenote,off,is a waste of space but sure.,
,libreoffice-fresh,off,is the office suite for Linux.,
,xournalpp,off,is a neat PDF annotation tool and touch-screen journal.,
,barrier,off,is a network KVM like synergy.,
